City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Srednekolymsk,RU,2021-02-03 05:41:33,67.45,153.6833,-23.49,87,97,4.63
99,Tocopilla,CL,2021-02-03 05:50:10,-22.092,-70.1979,67.3,63,49,4.12
100,Panorama,GR,2021-02-03 05:41:06,40.5878,23.0315,48.0,86,0,2.35
101,Tiksi,RU,2021-02-03 05:40:48,71.6872,128.8694,-4.61,92,100,16.49
102,Temozon,MX,2021-02-03 05:50:11,20.8,-88.2167,56.37,85,10,2.1
103,Belyy Yar,RU,2021-02-03 05:41:04,53.6039,91.3903,1.4,71,100,2.24
104,Nhulunbuy,AU,2021-02-03 05:41:23,-12.2333,136.7667,84.2,74,75,8.05
105,Qaanaaq,GL,2021-02-03 05:40:18,77.484,-69.3632,-12.12,83,100,2.35
106,Horasan,TR,2021-02-03 05:50:11,40.0458,42.1728,15.78,85,69,0.76
107,Albany,US,2021-02-03 05:40:24,42.6001,-73.9662,28.0,86,98,9.31
108,Xiamen,CN,2021-02-03 05:50:11,24.4798,118.0819,69.8,43,0,6.71
109,Hohhot,CN,2021-02-03 05:50:11,40.8106,111.6522,26.6,26,0,13.42
110,Dunmore Town,BS,2021-02-03 05:50:12,25.5,-76.65,65.08,66,3,20.74
111,Itoman,JP,2021-02-03 05:50:12,26.1247,127.6694,71.6,52,40,13.8
112,Severo-Kurilsk,RU,2021-02-03 05:40:23,50.6789,156.125,19.06,90,99,35.68
113,Remetea,RO,2021-02-03 05:50:12,46.7833,25.45,34.32,90,99,3.15
114,Mar Del Plata,AR,2021-02-03 05:50:05,-38.0023,-57.5575,66.99,94,75,3.44
115,Georgetown,MY,2021-02-03 05:40:06,5.4112,100.3354,86.0,66,20,10.36
116,Bathsheba,BB,2021-02-03 05:40:22,13.2167,-59.5167,78.8,69,40,19.57
117,Pangnirtung,CA,2021-02-03 05:50:13,66.1451,-65.7125,-15.27,73,100,0.89
118,Camacha,PT,2021-02-03 05:50:13,33.0833,-16.3333,60.8,94,75,4.61
119,Cabo San Lucas,MX,2021-02-03 05:36:44,22.8909,-109.9124,66.0,64,100,1.01
120,Okhotsk,RU,2021-02-03 05:40:58,59.3833,143.3,-21.15,81,49,15.84
121,Shimoda,JP,2021-02-03 05:50:13,34.6667,138.95,50.0,50,20,5.75
122,Pisco,PE,2021-02-03 05:40:35,-13.7,-76.2167,71.6,73,0,8.05
123,Grindavik,IS,2021-02-03 05:41:25,63.8424,-22.4338,35.6,60,20,20.71
124,Arraial Do Cabo,BR,2021-02-03 05:50:14,-22.9661,-42.0278,75.61,89,0,22.21
125,Mwense,ZM,2021-02-03 05:50:14,-10.3845,28.698,70.54,85,98,1.28
126,Belvedere Marittimo,IT,2021-02-03 05:50:14,39.6179,15.8617,52.97,83,14,2.98
127,Narsaq,GL,2021-02-03 05:40:57,60.9167,-46.05,15.8,48,0,9.22
128,Leningradskiy,RU,2021-02-03 05:40:22,69.3833,178.4167,-10.68,85,100,15.14
129,Zhigansk,RU,2021-02-03 05:50:15,66.7697,123.3711,-31.99,83,100,20.31
130,Akhmim,EG,2021-02-03 05:50:15,26.5622,31.745,55.4,33,0,4.61
131,Saldanha,ZA,2021-02-03 05:40:49,-33.0117,17.9442,60.8,88,0,6.91
132,Khasan,RU,2021-02-03 05:50:15,42.4308,130.6434,18.45,77,3,16.91
133,Amapa,BR,2021-02-03 05:50:16,1.0,-52.0,70.88,98,97,1.52
134,Balkanabat,TM,2021-02-03 05:50:16,39.5108,54.3671,54.66,39,82,0.96
135,Khash,IR,2021-02-03 05:50:16,28.2211,61.2158,54.21,33,0,2.55
136,Lompoc,US,2021-02-03 05:40:37,34.6391,-120.4579,53.6,94,90,3.44
137,Sao Joao Da Barra,BR,2021-02-03 05:50:16,-21.6403,-41.0511,75.94,87,72,14.09
138,Akdepe,TM,2021-02-03 05:50:16,42.0551,59.3788,39.2,75,0,9.22
139,Carnarvon,AU,2021-02-03 05:50:16,-24.8667,113.6333,82.4,100,90,23.02
140,Cape Town,ZA,2021-02-03 05:48:02,-33.9258,18.4232,69.01,82,0,16.11
141,Videbaek,DK,2021-02-03 05:50:17,56.0876,8.6285,28.99,86,75,11.5
142,Palimbang,PH,2021-02-03 05:50:17,6.2106,124.1894,85.03,68,96,4.83
143,Asau,RO,2021-02-03 05:50:17,46.4333,26.4,37.99,70,32,6.2
144,Rocha,UY,2021-02-03 05:38:26,-34.4833,-54.3333,67.42,96,93,2.57
145,Bonthe,SL,2021-02-03 05:41:30,7.5264,-12.505,76.53,90,28,3.29
146,Firminy,FR,2021-02-03 05:47:43,45.3873,4.2907,53.6,71,0,10.36
147,Fukue,JP,2021-02-03 05:50:17,32.6881,128.8419,44.6,57,40,11.5
148,Sangar,RU,2021-02-03 05:50:17,63.9242,127.4739,-40.29,79,100,8.46
149,Fairbanks,US,2021-02-03 05:47:09,64.8378,-147.7164,-18.4,76,1,3.44
150,Teguise,ES,2021-02-03 05:50:18,29.0605,-13.564,60.8,82,90,3.44
151,Port-Gentil,GA,2021-02-03 05:39:08,-0.7193,8.7815,80.6,89,75,4.61
152,Surman,LY,2021-02-03 05:50:18,32.7567,12.5716,56.8,79,0,3.85
153,Zhaoyuan,CN,2021-02-03 05:50:18,37.3592,120.3964,50.0,69,20,17.94
154,Torbay,CA,2021-02-03 05:40:31,47.6666,-52.7314,30.0,86,90,23.02
155,Yulara,AU,2021-02-03 05:40:58,-25.2406,130.9889,98.6,14,33,4.61
156,Comodoro Rivadavia,AR,2021-02-03 05:50:19,-45.8667,-67.5,71.6,56,0,8.05
157,Te Anau,NZ,2021-02-03 05:50:19,-45.4167,167.7167,67.3,61,11,5.91
158,Faanui,PF,2021-02-03 05:41:21,-16.4833,-151.75,81.52,76,0,16.26
159,Suez,EG,2021-02-03 05:50:19,29.9737,32.5263,64.99,83,0,13.13
160,Eureka,US,2021-02-03 05:47:25,40.8021,-124.1637,44.01,89,28,4.0
161,Dubbo,AU,2021-02-03 05:50:19,-32.25,148.6167,84.2,37,40,5.75
162,Presidencia Roque Saenz Pena,AR,2021-02-03 05:50:19,-26.7852,-60.4388,72.0,99,94,1.99
163,Khani,GE,2021-02-03 05:50:19,41.9563,42.9566,44.6,61,0,4.61
164,Neyshabur,IR,2021-02-03 05:50:20,36.2133,58.7958,45.84,49,0,2.01
165,Valentin Gomez Farias,MX,2021-02-03 05:50:20,28.2167,-106.5833,55.0,46,93,3.0
166,Faya,SA,2021-02-03 05:50:20,18.3851,42.4509,59.0,29,0,0.31
167,Santa Lucia,ES,2021-02-03 05:50:20,27.9117,-15.5407,62.01,82,75,11.5
