City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Cabo San Lucas,MX,66.2,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
405,Buraydah,SA,57.2,broken clouds,26.326,43.975,Mövenpick Hotel Qassim
406,Jiwani,PK,69.82,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
413,Dharur,IN,66.97,clear sky,18.8167,76.1167,Hotel Rajmahal
419,Gaya,IN,57.2,mist,24.7833,85.0,Hotel Viraat Inn Gaya
420,Jiaojiang,CN,60.01,broken clouds,28.6803,121.4428,Fangyuan Hotel
421,Tabas,IR,60.8,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
428,Plettenberg Bay,ZA,66.58,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
431,Camacha,PT,60.8,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
436,Lompoc,US,53.01,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
438,El Dorado,US,50.0,clear sky,38.7666,-120.5177,Bridal Veil Campground
445,Guiyang,CN,48.2,light rain,26.5833,106.7167,Guo Tai Hotel Guiyang
453,Potosi,BO,55.63,overcast clouds,-19.5836,-65.7531,Hostal La Casona Potosí
456,Annau,TM,53.6,broken clouds,37.8876,58.516000000000005,Buzmein Sokak
459,Tres Arroyos,AR,69.85,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
465,Antofagasta,CL,75.0,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
467,Punta Alta,AR,65.14,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
469,Apple Valley,US,57.0,few clouds,34.5008,-117.1859,Black Horse Motel
478,Kangavar,IR,45.16,scattered clouds,34.5043,47.9653,محمد جوادرضایی
482,Comodoro Rivadavia,AR,62.6,few clouds,-45.8667,-67.5,Austral Hotel
484,Abha,SA,59.0,clear sky,18.2164,42.5053,Abha Hotel
490,Darnah,LY,66.96,overcast clouds,32.766999999999996,22.6367,فندق الفردوس
496,Murray Bridge,AU,54.0,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
504,Kiama,AU,68.0,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
507,Rio Gallegos,AR,66.2,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
508,San Ramon,US,48.0,clear sky,37.7799,-121.978,San Ramon Marriott
518,Lithgow,AU,55.99,overcast clouds,-33.4833,150.15,Zig Zag Motel
533,Tura,IN,58.86,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
540,Necochea,AR,60.01,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
542,Isoka,ZM,69.87,light rain,-10.1606,32.6335,Location Compound
549,Porto Santo,PT,60.8,scattered clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
555,Taiobeiras,BR,69.91,light rain,-15.8078,-42.2331,Dallas Hotel
559,Kindberg,AT,50.0,overcast clouds,47.5,15.45,Pension Ehrenfried - Hotel Garni
564,San Carlos De Bariloche,AR,59.0,overcast clouds,-41.1456,-71.3082,Hotel Patagonia
567,Deniliquin,AU,53.01,overcast clouds,-35.5333,144.9667,Riviana Motel
570,Longyan,CN,59.04,clear sky,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
573,Batemans Bay,AU,62.01,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
574,Asosa,ET,70.63,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
577,Wanning,CN,69.42,scattered clouds,18.8003,110.3967,Paradise Hotel
588,Porbandar,IN,71.82,clear sky,21.6422,69.6093,Lords Inn Porbandar
589,Muros,ES,52.0,light rain,42.7762,-9.0603,Apartment Av. Castelao
590,Corinto,GR,62.01,overcast clouds,37.9407,22.9573,Ephira Hotel
591,Flinders,AU,68.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
594,Callaway,US,52.0,light intensity drizzle,30.153000000000002,-85.5699,Holiday Inn Express & Suites Panama City-Tyndall
596,Russell,US,48.2,overcast clouds,32.3502,-85.1999,Macs
600,Ulladulla,AU,66.2,broken clouds,-35.35,150.4667,Sandpiper Motel
604,Ngunguru,NZ,59.0,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
609,Pokhara,NP,52.77,clear sky,28.2333,83.9833,Hotel View Point
610,Zile,TR,55.4,clear sky,40.3031,35.8864,Zile Öğretmen evi
612,Corowa,AU,57.0,clear sky,-36.0333,146.3833,Statesman Motor Inn
622,Oudtshoorn,ZA,66.2,overcast clouds,-33.5907,22.2014,Earthbound Guest House
628,Colac,AU,54.0,few clouds,-38.3333,143.5833,Otway Gate Motel
630,Itoman,JP,62.6,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
640,Praia Da Vitoria,PT,62.01,broken clouds,38.7333,-27.0667,Hotel Branco I
644,Ixtapa,MX,69.8,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
646,Faya,SA,59.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
