City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Tecoanapa,MX,16.5167,-98.75,83.66,58,21,1.25,few clouds
111,Leningradskiy,RU,69.3833,178.4167,-13.67,77,7,5.41,clear sky
112,Verkhnevilyuysk,RU,63.4453,120.3167,-15.07,87,38,8.88,scattered clouds
113,Ladario,BR,-19.0047,-57.6017,87.8,42,20,6.91,few clouds
114,Saint Peter,BB,13.25,-59.6167,84.2,58,40,23.02,scattered clouds
115,Kushmurun,KZ,52.4503,64.6311,8.62,92,70,15.79,broken clouds
116,Sagua La Grande,CU,22.8067,-80.0756,84.2,65,40,5.75,light rain
117,San Rafael Del Sur,NI,11.8485,-86.4384,87.8,55,20,16.11,few clouds
118,Port-Gentil,GA,-0.7193,8.7815,80.6,78,40,4.61,scattered clouds
119,Deputatskiy,RU,69.3,139.9,-29.97,86,0,1.23,clear sky
120,Pacific Grove,US,36.6177,-121.9166,46.0,87,1,3.44,clear sky
121,Saint Anthony,US,45.0205,-93.218,-11.2,58,1,8.05,clear sky
122,Anuradhapura,LK,8.3565,80.4173,72.63,97,72,6.29,broken clouds
123,Rocha,UY,-34.4833,-54.3333,81.61,50,8,3.74,clear sky
124,Barrow,US,71.2906,-156.7887,-18.4,69,1,11.5,light snow
125,Rudbar,AF,30.15,62.6,66.0,22,0,4.83,clear sky
126,Hamilton,US,39.1834,-84.5333,19.0,62,20,9.22,few clouds
127,Pasca,CO,4.3072,-74.3006,66.2,48,75,3.44,broken clouds
128,Nenjiang,CN,49.1833,125.2167,-12.78,86,0,3.22,clear sky
129,Qaanaaq,GL,77.484,-69.3632,10.85,88,99,3.8,overcast clouds
130,Rabo De Peixe,PT,37.8,-25.5833,60.8,77,75,16.11,broken clouds
131,Pak Phanang,TH,8.3511,100.202,78.71,78,48,5.03,scattered clouds
132,Namibe,AO,-15.1961,12.1522,78.8,65,40,11.5,scattered clouds
133,Campina Verde,BR,-19.5356,-49.4864,83.8,48,60,3.31,broken clouds
134,Hovd,MN,48.0056,91.6419,13.87,87,86,0.43,overcast clouds
135,Smidovich,RU,48.6,133.8167,-6.09,88,93,8.5,overcast clouds
136,Salalah,OM,17.0151,54.0924,75.2,69,75,3.44,broken clouds
137,Husavik,IS,66.0449,-17.3389,33.8,69,75,4.61,broken clouds
138,Ponta Do Sol,PT,32.6667,-17.1,61.0,69,85,7.0,overcast clouds
139,Aguimes,ES,27.9054,-15.4461,66.2,59,75,20.71,broken clouds
140,Oranjemund,NA,-28.55,16.4333,67.3,76,9,26.28,clear sky
